ID,Day,timestep,numlanes,length,freeflowspeed,jamdensity,currentspeed,currentdensity,currenttraveltime,maxcapacity,currentflow
1,1,900,2,0.0752640515565872,60,172.725219726562,60,0,0.0752640515565872,5181.7568359375,0
1,1,960,2,0.0752640515565872,60,172.725219726562,52.5,3.60979368367913,0.086016058921814,5181.7568359375,379.028336786309
1,1,1020,2,0.0752640515565872,60,172.725219726562,60,0,0.0752640515565872,5181.7568359375,0
1,1,1080,2,0.0752640515565872,60,172.725219726562,60,0,0.0752640515565872,5181.7568359375,0
1,1,1140,2,0.0752640515565872,60,172.725219726562,60,0,0.0752640515565872,5181.7568359375,0
1,1,1200,2,0.0752640515565872,60,172.725219726562,45,23.5979368367913,0.100352063775063,5181.7568359375,2123.81431531122
1,1,1260,2,0.0752640515565872,60,172.725219726562,37.5,48.1654610409409,0.120422475039959,5181.7568359375,3612.40957807057
1,1,1320,2,0.0752640515565872,60,172.725219726562,48.75,18.4256431531122,0.0926326736807823,5181.7568359375,1796.50020742844
1,1,1380,2,0.0752640515565872,60,172.725219726562,60,0,0.0752640515565872,5181.7568359375,0
1,1,1440,2,0.0752640515565872,60,172.725219726562,56.25,2.04729368367913,0.0802816525101662,5181.7568359375,230.320539413902
1,1,1500,2,0.0752640515565872,60,172.725219726562,60,0,0.0752640515565872,5181.7568359375,0
1,1,1560,2,0.0752640515565872,60,172.725219726562,60,0,0.0752640515565872,5181.7568359375,0
1,1,1620,2,0.0752640515565872,60,172.725219726562,48.75,7.70438105103739,0.0926326736807823,5181.7568359375,751.177152476146
1,1,1680,2,0.0752640515565872,60,172.725219726562,45,9.75167473471652,0.100352063775063,5181.7568359375,877.650726124487
1,1,1740,2,0.0752640515565872,60,172.725219726562,60,0,0.0752640515565872,5181.7568359375,0
1,1,1800,2,0.0752640515565872,60,172.725219726562,60,0,0.0752640515565872,5181.7568359375,0
1,1,1860,2,0.0752640515565872,60,172.725219726562,56.25,1.5625,0.0802816525101662,5181.7568359375,175.78125
1,1,1920,2,0.0752640515565872,60,172.725219726562,60,0,0.0752640515565872,5181.7568359375,0
1,1,1980,2,0.0752640515565872,60,172.725219726562,60,0,0.0752640515565872,5181.7568359375,0
1,1,2040,2,0.0752640515565872,60,172.725219726562,56.25,2.04729368367913,0.0802816525101662,5181.7568359375,230.320539413902
